Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
0,24/03/2019,4,2,BLR → DEL,22:20,01:10 22 Mar,2h 50m,0,No info,3897
1,1/05/2019,1,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7h 25m,2,No info,7662
2,9/06/2019,0,1,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19h,2,No info,13882
0,12/05/2019,1,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1,No info,6218
0,01/03/2019,4,2,BLR → NAG → DEL,16:50,21:35,4h 45m,1,No info,13302
0,24/06/2019,1,Banglore,CCU → BLR,09:00,11:25,2h 25m,0,No info,3873
2,12/03/2019,4,2,BLR → BOM → DEL,18:55,10:25 13 Mar,15h 30m,1,In-flight meal not included,11087
2,01/03/2019,4,2,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,1,No info,22270
2,12/03/2019,4,2,BLR → BOM → DEL,08:55,10:25 13 Mar,25h 30m,1,In-flight meal not included,11087
3,27/05/2019,0,1,DEL → BOM → COK,11:25,19:15,7h 50m,1,No info,8625
1,1/06/2019,0,1,DEL → BLR → COK,09:45,23:00,13h 15m,1,No info,8907
0,18/04/2019,1,Banglore,CCU → BLR,20:20,22:55,2h 35m,0,No info,4174
1,24/06/2019,3,4,MAA → CCU,11:40,13:55,2h 15m,0,No info,4667
2,9/05/2019,1,Banglore,CCU → BOM → BLR,21:10,09:20 10 May,12h 10m,1,In-flight meal not included,9663
0,24/04/2019,1,Banglore,CCU → BLR,17:15,19:50,2h 35m,0,No info,4804
1,3/03/2019,0,1,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26h 35m,2,No info,14011
0,15/04/2019,0,1,DEL → PNQ → COK,08:45,13:15,4h 30m,1,No info,5830
2,12/06/2019,0,1,DEL → BOM → COK,14:00,12:35 13 Jun,22h 35m,1,In-flight meal not included,10262
1,12/06/2019,0,1,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23h,2,No info,13381
2,27/05/2019,0,1,DEL → BOM → COK,16:00,12:35 28 May,20h 35m,1,In-flight meal not included,12898
2,6/03/2019,0,1,DEL → BOM → COK,14:10,19:20,5h 10m,1,No info,19495
1,21/03/2019,4,2,BLR → COK → DEL,22:00,13:20 19 Mar,15h 20m,1,No info,6955
0,3/04/2019,4,0,BLR → DEL,04:00,06:50,2h 50m,0,No info,3943
0,1/05/2019,4,0,BLR → DEL,18:55,21:50,2h 55m,0,No info,4823
2,6/05/2019,1,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1,In-flight meal not included,7757
2,9/06/2019,0,1,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15h 10m,2,No info,13292
0,1/06/2019,0,1,DEL → LKO → COK,21:50,03:35 02 Jun,5h 45m,1,No info,8238
2,15/05/2019,0,1,DEL → BOM → COK,07:00,12:55,5h 55m,1,No info,7682
1,18/06/2019,4,0,BLR → DEL,09:45,12:35,2h 50m,0,No info,4668
1,15/06/2019,3,4,MAA → CCU,07:05,09:20,2h 15m,0,No info,3687
