Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Airline_clean,Source_clean,Duration_Minutes,Total_Stops_Num,Source_Code
Saudia,2019-03-24,Riyadh,Dubai,Riyadh → Dubai,22:20,01:10,2h 50m,non-stop,Express Flight,3897,saudia,riyadh,170,0.0,RUH
Saudia,2019-05-01,Dammam,Riyadh,Dammam → Riyadh,05:50,13:15,7h 25m,2 stops,Multi Stopover,7662,saudia,dammam,445,2.0,DMM
Saudia,2019-06-09,Jeddah,London,Jeddah → London,09:25,04:25,19h,2 stops,Multi Stopover,13882,saudia,jeddah,1140,2.0,JED
Saudia,2019-05-12,Dammam,Riyadh,Dammam → Riyadh,18:05,23:30,5h 25m,1 stop,Standard Stopover,6218,saudia,dammam,325,1.0,DMM
Saudia,2019-03-01,Riyadh,Dubai,Riyadh → Dubai,16:50,21:35,4h 45m,1 stop,Standard Stopover,13302,saudia,riyadh,285,1.0,RUH
Saudia,2019-06-24,Dammam,Riyadh,Dammam → Riyadh,09:00,11:25,2h 25m,non-stop,Express Flight,3873,saudia,dammam,145,0.0,DMM
Saudia,2019-03-12,Riyadh,Dubai,Riyadh → Dubai,18:55,10:25,15h 30m,1 stop,No Meal,11087,saudia,riyadh,930,1.0,RUH
Saudia,2019-03-01,Riyadh,Dubai,Riyadh → Dubai,08:00,05:05,21h 5m,1 stop,Standard Stopover,22270,saudia,riyadh,1265,1.0,RUH
Saudia,2019-03-12,Riyadh,Dubai,Riyadh → Dubai,08:55,10:25,25h 30m,1 stop,No Meal,11087,saudia,riyadh,1530,1.0,RUH
Saudia,2019-05-27,Jeddah,London,Jeddah → London,11:25,19:15,7h 50m,1 stop,Standard Stopover,8625,saudia,jeddah,470,1.0,JED
Saudia,2019-06-01,Jeddah,London,Jeddah → London,09:45,23:00,13h 15m,1 stop,Standard Stopover,8907,saudia,jeddah,795,1.0,JED
Saudia,2019-04-18,Dammam,Riyadh,Dammam → Riyadh,20:20,22:55,2h 35m,non-stop,Express Flight,4174,saudia,dammam,155,0.0,DMM
Flynas,2019-06-24,Abha,Dammam,Abha → Dammam,11:40,13:55,2h 15m,non-stop,Express Flight,4667,flynas,abha,135,0.0,AHB
Saudia,2019-05-09,Dammam,Riyadh,Dammam → Riyadh,21:10,09:20,12h 10m,1 stop,No Meal,9663,saudia,dammam,730,1.0,DMM
Saudia,2019-04-24,Dammam,Riyadh,Dammam → Riyadh,17:15,19:50,2h 35m,non-stop,Express Flight,4804,saudia,dammam,155,0.0,DMM
Saudia,2019-03-03,Jeddah,London,Jeddah → London,16:40,19:15,26h 35m,2 stops,Multi Stopover,14011,saudia,jeddah,1595,2.0,JED
Saudia,2019-04-15,Jeddah,London,Jeddah → London,08:45,13:15,4h 30m,1 stop,Standard Stopover,5830,saudia,jeddah,270,1.0,JED
Saudia,2019-06-12,Jeddah,London,Jeddah → London,14:00,12:35,22h 35m,1 stop,No Meal,10262,saudia,jeddah,1355,1.0,JED
Saudia,2019-06-12,Jeddah,London,Jeddah → London,20:15,19:15,23h,2 stops,Multi Stopover,13381,saudia,jeddah,1380,2.0,JED
Saudia,2019-05-27,Jeddah,London,Jeddah → London,16:00,12:35,20h 35m,1 stop,No Meal,12898,saudia,jeddah,1235,1.0,JED
Saudia,2019-03-06,Jeddah,London,Jeddah → London,14:10,19:20,5h 10m,1 stop,Standard Stopover,19495,saudia,jeddah,310,1.0,JED
Saudia,2019-03-21,Riyadh,Dubai,Riyadh → Dubai,22:00,13:20,15h 20m,1 stop,Standard Stopover,6955,saudia,riyadh,920,1.0,RUH
Saudia,2019-04-03,Riyadh,Jeddah,Riyadh → Jeddah,04:00,06:50,2h 50m,non-stop,Express Flight,3943,saudia,riyadh,170,0.0,RUH
Saudia,2019-05-01,Riyadh,Jeddah,Riyadh → Jeddah,18:55,21:50,2h 55m,non-stop,Express Flight,4823,saudia,riyadh,175,0.0,RUH
Saudia,2019-05-06,Dammam,Riyadh,Dammam → Riyadh,18:55,08:15,13h 20m,1 stop,No Meal,7757,saudia,dammam,800,1.0,DMM
Saudia,2019-06-09,Jeddah,London,Jeddah → London,21:25,12:35,15h 10m,2 stops,Multi Stopover,13292,saudia,jeddah,910,2.0,JED
Saudia,2019-06-01,Jeddah,London,Jeddah → London,21:50,03:35,5h 45m,1 stop,Standard Stopover,8238,saudia,jeddah,345,1.0,JED
Saudia,2019-05-15,Jeddah,London,Jeddah → London,07:00,12:55,5h 55m,1 stop,Standard Stopover,7682,saudia,jeddah,355,1.0,JED
Saudia,2019-06-18,Riyadh,Jeddah,Riyadh → Jeddah,09:45,12:35,2h 50m,non-stop,Express Flight,4668,saudia,riyadh,170,0.0,RUH
Flynas,2019-06-15,Abha,Dammam,Abha → Dammam,07:05,09:20,2h 15m,non-stop,Express Flight,3687,flynas,abha,135,0.0,AHB
Flynas,2019-06-18,Abha,Dammam,Abha → Dammam,07:05,09:20,2h 15m,non-stop,Express Flight,3687,flynas,abha,135,0.0,AHB
Saudia,2019-05-01,Dammam,Riyadh,Dammam → Riyadh,09:50,23:15,13h 25m,2 stops,Multi Stopover,13227,saudia,dammam,805,2.0,DMM
Saudia,2019-04-06,Riyadh,Jeddah,Riyadh → Jeddah,04:00,06:50,2h 50m,non-stop,Express Flight,4423,saudia,riyadh,170,0.0,RUH
Saudia,2019-06-15,Jeddah,London,Jeddah → London,14:35,12:35,22h,2 stops,No Meal,10919,saudia,jeddah,1320,2.0,JED
Saudia,2019-05-18,Jeddah,London,Jeddah → London,07:05,12:35,5h 30m,1 stop,No Meal,12373,saudia,jeddah,330,1.0,JED
Saudia,2019-06-27,Jeddah,London,Jeddah → London,10:35,21:00,10h 25m,1 stop,Standard Stopover,5894,saudia,jeddah,625,1.0,JED
Saudia,2019-05-21,Dammam,Riyadh,Dammam → Riyadh,15:05,20:20,5h 15m,1 stop,Standard Stopover,4649,saudia,dammam,315,1.0,DMM
Saudia,2019-05-18,Dammam,Riyadh,Dammam → Riyadh,14:15,16:45,2h 30m,non-stop,Express Flight,6245,saudia,dammam,150,0.0,DMM
Saudia,2019-03-06,Riyadh,Dubai,Riyadh → Dubai,07:00,13:15,6h 15m,1 stop,Standard Stopover,19225,saudia,riyadh,375,1.0,RUH
Saudia,2019-06-03,Jeddah,London,Jeddah → London,07:05,19:00,11h 55m,1 stop,Standard Stopover,14924,saudia,jeddah,715,1.0,JED
Saudia,2019-05-21,Jeddah,London,Jeddah → London,07:05,18:10,11h 5m,1 stop,Standard Stopover,9646,saudia,jeddah,665,1.0,JED
Saudia,2019-03-15,Riyadh,Dubai,Riyadh → Dubai,06:45,15:15,8h 30m,1 stop,Standard Stopover,8714,saudia,riyadh,510,1.0,RUH
Saudia,2019-05-18,Jeddah,London,Jeddah → London,20:55,19:00,22h 5m,1 stop,No Meal,12373,saudia,jeddah,1325,1.0,JED
Saudia,2019-05-06,Riyadh,Jeddah,Riyadh → Jeddah,11:10,13:55,2h 45m,non-stop,Express Flight,3383,saudia,riyadh,165,0.0,RUH
Saudia,2019-03-21,Jeddah,London,Jeddah → London,09:00,21:00,12h,1 stop,Standard Stopover,13062,saudia,jeddah,720,1.0,JED
